Postal Code,Borough,Neighborhood
M1S,Scarborough,Agincourt
M8W,Etobicoke,"Alderwood, Long Branch"
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
M2K,North York,Bayview Village
M5M,North York,"Bedford Park, Lawrence Manor East"
M5E,Downtown Toronto,Berczy Park
M1N,Scarborough,"Birch Cliff, Cliffside West"
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
M6E,York,Caledonia-Fairbanks
M7R,Mississauga,Canada Post Gateway Processing Centre
M1H,Scarborough,Cedarbrae
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M4Y,Downtown Toronto,Church and Wellesley
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M4S,Central Toronto,Davisville
M4P,Central Toronto,Davisville North
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M3B,North York,Don Mills
M3C,North York,Don Mills
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
M3K,North York,Downsview
M3L,North York,Downsview
M3M,North York,Downsview
M3N,North York,Downsview
M6H,West Toronto,"Dufferin, Dovercourt Village"
M4J,East York,"East Toronto, Broadview North (Old East York)"
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M2J,North York,"Fairview, Henry Farm, Oriole"
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
M5B,Downtown Toronto,"Garden District, Ryerson"
M6B,North York,Glencairn
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
M1E,Scarborough,"Guildwood, Morningside, West Hill"
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
M6P,West Toronto,"High Park, The Junction South"
M2H,North York,Hillcrest Village
M9L,North York,Humber Summit
M9M,North York,"Humberlea, Emery"
M6C,York,Humewood-Cedarvale
M4L,East Toronto,"India Bazaar, The Beaches West"
M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M6A,North York,"Lawrence Manor, Lawrence Heights"
M4N,Central Toronto,Lawrence Park
M4G,East York,Leaside
M6J,West Toronto,"Little Portugal, Trinity"
M1B,Scarborough,"Malvern, Rouge"
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
M4T,Central Toronto,"Moore Park, Summerhill East"
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
M4R,Central Toronto,"North Toronto West, Lawrence Park"
M9W,Etobicoke,"Northwest, West Humber - Clairville"
M3J,North York,"Northwood Park, York University"
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
M6R,West Toronto,"Parkdale, Roncesvalles"
M4B,East York,"Parkview Hill, Woodbine Gardens"
M3A,North York,Parkwoods
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
M5A,Downtown Toronto,"Regent Park, Harbourfront"
M5H,Downtown Toronto,"Richmond, Adelaide, King"
M4W,Downtown Toronto,Rosedale
M5N,Central Toronto,Roselawn
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
M6S,West Toronto,"Runnymede, Swansea"
M6N,York,"Runnymede, The Junction North"
M1J,Scarborough,Scarborough Village
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M5C,Downtown Toronto,St. James Town
M4X,Downtown Toronto,"St. James Town, Cabbagetown"
M1W,Scarborough,"Steeles West, L'Amoreaux West"
M5W,Downtown Toronto,Stn A PO Boxes
M4M,East Toronto,Studio District
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
M4E,East Toronto,The Beaches
M4K,East Toronto,"The Danforth West, Riverdale"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M4H,East York,Thorncliffe Park
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
M5S,Downtown Toronto,"University of Toronto, Harbord"
M1X,Scarborough,Upper Rouge
M4A,North York,Victoria Village
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9P,Etobicoke,Westmount
M9N,York,Weston
M1R,Scarborough,"Wexford, Maryvale"
M2M,North York,"Willowdale, Newtonbrook"
M2N,North York,"Willowdale, Willowdale East"
M2R,North York,"Willowdale, Willowdale West"
M1G,Scarborough,Woburn
M4C,East York,Woodbine Heights
M2P,North York,York Mills West
M2L,North York,"York Mills, Silver Hills"
